2024-07-16 14:25:27,128 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-07-16 14:25:27,157 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-07-16 14:25:27,159 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-07-16 14:25:27,159 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-07-16 14:25:27,178 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-07-16 14:25:27,179 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-07-16 14:25:27,180 INFO  SwAddin.cs: 201 - Setting up command manager
2024-07-16 14:25:27,181 INFO  SwAddin.cs: 204 - Adding command manager
2024-07-16 14:25:27,184 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-07-16 14:25:27,186 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-07-16 14:25:27,188 INFO  SwAddin.cs: 210 - Adding event handlers
2024-07-16 14:25:27,371 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-07-16 14:44:22,557 INFO  SwAddin.cs: 294 - Assembly export called for file assembly.SLDASM
2024-07-16 14:44:22,559 INFO  SwAddin.cs: 299 - Save is required
2024-07-16 14:44:22,560 INFO  SwAddin.cs: 313 - Saving assembly
2024-07-16 14:44:25,420 INFO  SwAddin.cs: 316 - Opening property manager
2024-07-16 14:44:25,446 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from assembly.SLDASM
2024-07-16 14:44:25,543 INFO  ExportHelperExtension.cs: 1136 - Found 305 in assembly.SLDASM
2024-07-16 14:44:25,572 INFO  ExportHelperExtension.cs: 1145 - Found 16 features of type [CoordSys] in assembly.SLDASM
2024-07-16 14:44:25,573 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-07-16 14:44:25,576 INFO  ExportHelperExtension.cs: 1160 - 60 components to check
2024-07-16 14:44:25,580 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s102-1
2024-07-16 14:44:25,603 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s102-1
2024-07-16 14:44:25,604 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s102-1
2024-07-16 14:44:25,605 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from mcp_bracket-1
2024-07-16 14:44:25,607 INFO  ExportHelperExtension.cs: 1136 - Found 32 in mcp_bracket-1
2024-07-16 14:44:25,609 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in mcp_bracket-1
2024-07-16 14:44:25,610 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from finger_tip-1
2024-07-16 14:44:25,613 INFO  ExportHelperExtension.cs: 1136 - Found 28 in finger_tip-1
2024-07-16 14:44:25,614 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in finger_tip-1
2024-07-16 14:44:25,615 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from finger_tip-3
2024-07-16 14:44:25,617 INFO  ExportHelperExtension.cs: 1136 - Found 28 in finger_tip-3
2024-07-16 14:44:25,618 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in finger_tip-3
2024-07-16 14:44:25,619 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-1
2024-07-16 14:44:25,620 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-1
2024-07-16 14:44:25,622 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-1
2024-07-16 14:44:25,623 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-2
2024-07-16 14:44:25,624 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-2
2024-07-16 14:44:25,625 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-2
2024-07-16 14:44:25,626 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-4
